name,salary
Carla,14828.5706851295
Alexander,15296.5231694441
Michael,15592.0998598812
Kianna,14559.4273089333
Khang,14824.7506805502
Genevieve,15621.215962018
Abraham,15654.0751852446
Quraish,14479.3595474177
Kristy,15457.6943322345
Kaitlyn,15054.9052729592
Joel,15427.3245557881
Zechariah,15121.5883731156
Nicholas,15385.2407158822
Sad,15625.0001272973
James,14908.6976195321
Keland,15009.7016208908
Jannat,15736.066145778
Asien,14591.4110768167
Niesha,14839.7233308126
Megan,15478.4337642314
Jacob,15123.4918555393
Zakiyya,14664.5150869109
James,15123.5140559905
Marquis,14589.6701369496
Wajdiyya,14051.5974634763
Jalen,15340.4044981218
Torrie,15651.9580284145
Ridwaan,14633.858505443
Christian,15514.4412842982
Abdul Hai,15458.9112502962
Shuraih,15181.9024456154
Alana,14322.6367309689
Raymond,15111.2474595039
Dianna,15882.5582396303
Margaret,15714.8317067715
Aleya,15437.3334610588
Boyu,15644.6001837592
Nazmiyya,15972.5454532035
Connor,15217.8349428818
Lawanda,14442.3507709663
Jafar,13965.1093844513
Andrew,14676.3265780404
Maninder,15440.2915650246
Kenia,15149.0025360274
Torrey,15126.7044673096
Naseem,15059.2343322507
Kele,15170.6788092002
James,14806.3848258848
Anthone'E,14992.5990106477
Roman,14715.4454393083
Sarah,15423.8893455761
Lehanna,14173.731974723
Paul,15159.8050425646
Malaika,14488.6567758332
Joshua,15125.5693218607
Ashleigh,14676.9187786489
Casady,15414.5943354887
Katelyn,15145.0111212374
Huy,16013.0403291363
Kelsy,14887.5534395009
Juan,15077.4589962595
Hamza,15160.5758478092
Dhaki,15035.3365052815
Dylan,15067.0543177033
Phillip,14827.010977041
Brandon,14932.9449215597
Christopher,14167.9107151273
Laura,15117.3279890735
Ilhaam,15739.9645220333
Mary,14410.2682529249
Ivory,14199.8439971644
Sulaimaan,15266.5839741353
Thaamir,14499.997414591
Xochitl,15512.7491932909
Julien,15198.6457388736
Maajida,14748.7923562976
Valerie,15266.9855671012
Onevar,15362.9276600838
Tyreik,15325.3200492695
Hannah,14989.8963614515
Jimmy,15178.8580033208
Charlotte,14926.0234468885
Paola,15326.7340223906
Ashia,14987.1542997001
Kara,15183.8863778529
Jacqueline,14433.8501568577
Heather,14783.9866679504
Kashief,14668.605064427
Nathan,15000.1352723439
Prontipp,16233.185383541
Megan,14478.0051473643
Victor,15321.0402424299
Charles,14846.9096886957
Myron,14733.939569348
Abigail,14794.3880480672
Timothy,14353.2865708062
Jesus,15421.7157674176
Enkhtsetseg,14441.5774257806
Anthony,15913.6287258915
Chang,15016.0067924918
Zachary,15285.9339201863
Palmer,14420.8647174817
Aaron,15348.1086975489
Peter,15774.5903910814
Kuer,15545.9915327672
John'Dunae,14676.5581324861
David,15408.0320792232
Nicholas,15272.3344943747
Emily,14199.1483656713
Joshua,13880.8120941648
Brandon,15906.1824920818
Zacheriah,14506.8311352181
Evan,15962.5704252341
Shaahida,14852.4682615439
Chamos,15688.4595798264
Brianna,14598.2904668205
Nicholas,15695.4012077596
Haaniya,14961.064818697
Jacob,15609.2370015979
Taylor,15686.5148893842
Michael,15396.9550070091
Shafeeqa,14897.9816093061
Ariel,15385.1221634812
Faheem,13681.7520871831
Aaron,14879.1012606091
Vionna,14601.1688161291
Selena,14871.9767885633
Susan,15223.9518029102
Alex,15491.0763097477
Anastasia,14727.4567982626
Tazarah,14620.5340603627
Christina,15261.7482034125
