name,salary
Aaron,15098.0120474338
Rillard,14491.4052383949
Kiana,15366.8290285917
Oghenemairo,15045.7748337034
Dhaakir,14056.6783243106
Miah,14854.3084744865
Samantha,14066.5111324924
Tory,14189.35968423
Elijah,13590.93721774
Tyreik,15325.3200492695
Azelia,16087.4309371736
Kayla,15253.9487662295
Mikayla,14305.0449239293
Victoria,15432.5158976095
George,14611.0302723186
Kendall,15119.9321476318
Joshua,15330.5645523393
Christian,15035.0294130279
Melissa,15381.9498457495
Mark,15857.0379073785
Kelsy,14887.5534395009
Erin,15348.985835719
Mudrika,15500.8153796542
Amy,15140.3381412164
Aseela,15011.04917157
Julian,14813.4829335861
Saamyia,15531.8986657206
Jaabir,14698.0350261518
Tai,14972.7584992454
Luke,15130.8359968319
Rachel,14679.1752190468
Emilio,14955.4120231661
Claud,14717.7257375841
Chloe,15500.2052152615
Kaelinn,14731.778984515
Chaz,15066.1743739096
Abigail,14321.6716639831
Chelsea,15372.4589256724
Angel,14793.7353378659
Natasha,14419.6742516463
Raaid,15397.5153595497
Ryan,15942.8537764456
Angela,15206.2684007173
Pedro,15073.1925915918
Kourtney,14420.9381941654
Jesus,15018.9074010801
Tyler,14765.6746132093
Gabriel,15031.2975259483
Ibtisaama,14757.9163718869
Anissa,14963.4140678382
Rebekah,15147.731998317
Juan,14392.2891068419
Kameela,15047.4215305241
Haden,14272.2037920679
Anneliese,14933.3594664461
Gabrielle,15125.5924852068
Jonathan,15093.9959585874
Abdur Raqeeb,14806.0011446438
Elise,14790.3538837164
Saamir,13900.5450921712
Caelynne,15401.4923361242
Nelda,14847.2509403181
Juan,14956.626734818
Alex,13909.528425441
Maria,14585.1069468177
Darrius,15507.8622658258
Zong,15158.2431284353
Alexander,14907.1527316103
Ulyaa,15626.8809792463
Nicole,15440.9545739162
Marina,16327.1835515496
Hailey,15253.2205796678
Fawzaana,14612.3531096651
Melissa,15287.0573061719
Susan,15160.0159689107
Quentin,14625.6173392522
Elicia,15818.6965310454
Ummu Kulthoom,15042.7497821076
Kianna,14559.4273089333
Anthony,15102.5733862993
Jorge,14845.8553672478
Danny,14648.8003827926
Jeelaan,13826.2264338839
Tyreik,15325.3200492695
Andy,15527.3161742107
Brandi,14861.7937143232
Maria,14585.1069468177
Anthony,15163.7394735864
Jennie,14654.2515896202
Sean,15402.608844197
Uthmaa N,14267.1983340573
Naaila,15097.2863549191
Faisal,14541.1682214023
Afnaan,14227.2431567679
Hannah,14942.7812823934
Howard,15494.4555241103
Rafael,15977.6699611037
Walker,15062.6033684055
Saul,14743.0235227793
Zubaida,14330.6849279687
Shonna,15420.0793844348
Robert,15516.1598771304
Leandra,14896.2739399697
Reid,14597.2977056465
Alex,15011.9274517896
Alyssa,15088.4038340285
Sierra,14241.0278021995
Tiasha,15564.9835594607
Terry,15604.5247591391
Miranda,15007.7777967596
Michael,14804.1647880496
Asiya,15012.2398370973
Sam,15494.7097079092
Devundrick,15823.369775896
Siddeeqi,14967.7180168582
Careese,16087.9754539375
Farrell,15044.618304824
James,15211.5165990305
Shuraih,14121.3757032101
Brian,15266.4850351108
Corbett,14770.4326890537
Acelynn,15065.405105469
Majdiyya,16507.1577985655
Thomas Jake,14620.0463956466
David,15093.2806594821
Zachary,14488.0639185755
Shaafi,15424.6488590466
Eugene,15528.5830507581
Thomas,15028.9728998618
Hamna,15774.587899721
Javeria,14808.8866199987
Becky,14483.7961861081
Naphtalee,15404.1124126023
Hugh,15127.7530869037
Michelle,14344.0415928891
Luis,15149.1596039357
Renee,14706.2016589049
Oscar,14083.7917790712
Kabeera,15077.5127822411
Larae,15671.7994582866
Amy,14875.039290141
Jahangeer,15093.7448406819
Andrew,15614.5607853883
Hayley,15309.0708007721
Perry,14109.6744884619
Damion,14904.2122938029
Hamza,15187.6305317937
Justin,14740.1275296545
Bianca,14846.5965072157
Detrick,15396.9848346912
Fawqiyya,14258.049413685
Francesco,14930.851844729
Kristian,14160.0300657163
Natasha,14419.6742516463
Anthony,14693.9378817336
Carolyn,14869.886966777
Josiah,15358.8009925949
Madisyn,14787.5851671013
Tobias,14860.206171794
Brooklyn,14651.7529328848
Mario Roberto,14169.1979210656
Rie,14107.6574274322
Savannah,14565.757146556
Chentel,13814.3224308602
Deangelo,14704.5393705939
Vivian,15047.3297645504
Anthony,14890.8097520098
Rosalinda,15402.6277675257
Edgar,14973.872837541
Aaron,15345.063386083
Mujaahida,13986.9489736798
Simone,14931.4761671397
Marley,14983.2452491964
Shaheed,15019.5449944738
Ronald,16153.8194285311
Mary,15138.1860018281
Ricardo,15094.1626201158
Suphaporn,14425.2445872627
Aphined,15434.7977623968
Zubair,14642.3579799055
Christina,15261.7482034125
Kaibrea,15329.7525709595
Mawhiba,15727.6874622393
Gloria,14472.2022587215
Paige,14506.7401232941
Nelson,14757.279337759
Jaylene,15069.9689422003
Ria,15193.4184203235
Tearah,15374.3377137953
Juan,15293.2005268078
Tre,14616.31494026
Jeanette,14011.8977164989
Vachae,14598.0420909075
Oscar,14587.6201510143
Shania,15628.8944656996
Skylin,15494.8730967741
Nasteh,15666.1704491695
Claud,15107.1481808177
Kuer,15545.9915327672
Joseph,15391.934955094
Gage,14053.307236369
Aastha,15312.1248479808
Dillon,15282.8720056356
Symon,15149.550390426
Cheyane,14658.4354955687
Kayla,15281.8332464303
Autumn,15120.3439547652
Anna,14921.0493401499
Julia,15590.8067164927
Ashwini,14787.5180763953
Annette,15371.9202401007
Allyssia,14403.6431724144
Robert,15409.8118613547
Kaden,15448.1765239169
Aaron,15348.1086975489
Maliek,14557.219232407
Adnan,15796.1790188781
Nabeeha,14749.6686922272
Talha,15438.6025742376
Charles,14518.7651341879
Morgan,15167.3912890025
Hament,15286.7328959084
Adriana,15023.4017093157
Austin,15417.5852563862
Isiah,14719.7687530754
Justin,14825.068562922
Jameel,13888.9037978436
Alexandria,14861.2114919519
Elio,14233.4905647697
Angelica,15565.3325694476
Megan,15039.3501035696
Suhaad,13809.6028476724
Anthony,14866.8785524677
Steven,15951.6615548855
Zaidaan,14925.6008674791
Tasia,15127.3162904417
Destinie,14644.7988293651
Merhawie,14287.5672448915
Jimmy,14656.8644501425
Tayleur,15174.6829930136
Braeton,14820.7016465203
Juan,15065.3862321038
Oneisys,14435.5852071657
Amber,15023.1788515474
Angel,14416.4766862464
George,15196.5731399368
Cierra,14680.1495689713
Trystan,15337.4930945994
Delayna,14871.1779116763
Benjamin,13712.8016480293
Cassandra,14390.9604895152
William,15345.5702230815
Veronica,15149.5665060439
Azzaam,14651.8184554662
Charlotte,14926.0234468885
Aerika,15367.4100472796
Sixto,14982.1986421753
Nicole,15883.747161244
Dhruvi,14151.1370084933
Emma,15818.010034362
Karmilla,15123.2667917317
Dejahne,15538.3277769364
Justin,14333.9609746037
Haaniya,16011.0790240245
John,15631.585683305
Cameron,14350.8400627734
Justice,14647.3601975955
Pauline,15597.1301769964
